geographic_area_name,counts
"McKinley Park",49
"Pilsen - Little Village",40
Ravenswood,39
Bronzeville,37
Englewood,36
"Far South Side",35
"Albany Irving",33
"South Shore",32
"Garfield - West Humboldt",32
"Auburn Gresham",28
"Near West",27
Logan,24
Austin,24
"North Lawndale",24
"Lincoln Park",23
Chatham,22
"Near North",18
"Belmont Cragin",18
Sauganash,16
"Humboldt Park",15
Beverly,13
"Chicago Lawn",13
Ashburn,11
Loop,10
"Far East Side",10
"Bridgeport - Chinatown",10
Woodlawn,9
MDW,9
"Hyde Park",8
Reed-Dunning,7
